earthquake_id,location_name,scenario_latitude,scenario_longitude,infrastructure_type,name,infra_latitude,infra_longitude
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,bridge,国道398号,38.9865305,140.6962214
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,bridge,国道398号,38.9845876,140.7018846
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,trunk,国道398号,38.9860075,140.7114241
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,bridge,国道398号,38.9815982,140.6934404
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,trunk,国道398号,38.992012,140.6855215
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,trunk,国道398号,38.9987588,140.6732245
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,trunk,国道398号,38.9838378,140.7069079
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.9884122,140.6477028
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,residential,,39.00204,140.639817
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.883503,140.638595
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,unclassified,,38.995024,140.68432
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,trunk,国道398号,38.9864349,140.7135986
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,secondary,秋ノ宮小安温泉線,39.001659,140.619989
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,residential,,38.962964,140.716035
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,unclassified,,39.0045125,140.6672488
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,trunk,国道398号,38.9939044,140.6786461
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,residential,,38.999884,140.620672
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,residential,,38.957105,140.732826
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,bridge,躑躅橋,38.9847941,140.7126403
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,residential,,39.003239,140.641852
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,trunk,国道398号,38.9274128,140.7289753
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.9993962,140.6661658
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,secondary,仁郷大湯線,38.9760384,140.7170418
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,primary,湯沢栗駒公園線,39.0050888,140.6400298
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,unclassified,,39.0017516,140.6714639
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,tertiary,,39.001659,140.633037
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.978703,140.613763
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,trunk,国道398号,38.9841153,140.7121782
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,bridge,国道398号,38.9673688,140.715031
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,tertiary,,39.001892,140.629139
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,trunk,国道398号,38.9720521,140.7111089
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,residential,,39.001008,140.637396
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,bridge,,39.0029408,140.6703734
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,secondary,秋ノ宮小安温泉線,39.003405,140.621162
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,trunk,栗駒大湯トンネル,38.9793091,140.7140993
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,track,桂沢林道,38.9976819,140.6867828
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,bridge,紅葉橋,38.9874631,140.7140438
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.9695692,140.7459466
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,residential,,38.965304,140.719674
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.9707403,140.6216875
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,bridge,石楠花橋,38.9831253,140.7113566
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,tertiary,,39.00174,140.631399
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,trunk,国道398号,38.9792752,140.714059
